Abbottabad Heights Road, Abbottabad, Khyber Pakhtunkhwa
Garhi Momin, Peshawar, Khyber Pakhtunkhwa
Garhi Sikandar Khan, Peshawar, Khyber Pakhtunkhwa
Gari Sohbat Khan, Peshawar, Khyber Pakhtunkhwa
Ghanta Ghar, Peshawar, Khyber Pakhtunkhwa
Govt. Superior Science College Road, Peshawar, Khyber Pakhtunkhwa
Green Homes, Peshawar, Khyber Pakhtunkhwa
GT Road, Peshawar, Khyber Pakhtunkhwa
Gulbahar, Peshawar, Khyber Pakhtunkhwa
Gulbahar Road, Peshawar, Khyber Pakhtunkhwa
Gulberg, Peshawar, Khyber Pakhtunkhwa
Gulshan Rehman Colony, Peshawar, Khyber Pakhtunkhwa
Gulshan-e-Iqbal, Peshawar, Khyber Pakhtunkhwa
Gunj, Peshawar, Khyber Pakhtunkhwa
Gurh Mandi, Peshawar, Khyber Pakhtunkhwa
Haji Town, Peshawar, Khyber Pakhtunkhwa
Hashtnagri, Peshawar, Khyber Pakhtunkhwa
Hayatabad, Peshawar, Khyber Pakhtunkhwa
Hussain Abad Colony, Peshawar, Khyber Pakhtunkhwa
Ijaz Abad Road, Peshawar, Khyber Pakhtunkhwa
Ijazabad, Peshawar, Khyber Pakhtunkhwa
Inamabad, Peshawar, Khyber Pakhtunkhwa
Industrial Estate, Peshawar, Khyber Pakhtunkhwa
Inner City, Peshawar, Khyber Pakhtunkhwa
Irshadabad, Peshawar, Khyber Pakhtunkhwa
Ishrat Cinema Road, Peshawar, Khyber Pakhtunkhwa
Islamabad - Peshawar Motorway, Peshawar, Khyber Pakhtunkhwa
Islamia Town, Peshawar, Khyber Pakhtunkhwa
Izzat Khan Chowk, Peshawar, Khyber Pakhtunkhwa
Jabba Daudzai, Peshawar, Khyber Pakhtunkhwa
Jahangirabad, Peshawar, Khyber Pakhtunkhwa
Jahangirpura, Peshawar, Khyber Pakhtunkhwa
Jameel Chowk, Peshawar, Khyber Pakhtunkhwa
Jamrud, Peshawar, Khyber Pakhtunkhwa
Jamrud Road, Peshawar, Khyber Pakhtunkhwa
Jhagra, Peshawar, Khyber Pakhtunkhwa
Jhanda Bazar, Peshawar, Khyber Pakhtunkhwa
Junaidabad, Peshawar, Khyber Pakhtunkhwa
Kakakhel Town 1, Peshawar, Khyber Pakhtunkhwa
Kakshal, Peshawar, Khyber Pakhtunkhwa
Kambo, Peshawar, Khyber Pakhtunkhwa
Karimpura, Peshawar, Khyber Pakhtunkhwa
Kaur Complex, Peshawar, Khyber Pakhtunkhwa
Khanmast Colony, Peshawar, Khyber Pakhtunkhwa
Khattak Colony, Peshawar, Khyber Pakhtunkhwa
Khyber Bazar, Peshawar, Khyber Pakhtunkhwa
Khyber Colony 1, Peshawar, Khyber Pakhtunkhwa
Khyber Colony 2, Peshawar, Khyber Pakhtunkhwa
Khyber Kalley Road, Peshawar, Khyber Pakhtunkhwa
Khyber Road, Peshawar, Khyber Pakhtunkhwa
Kohat Road, Peshawar, Khyber Pakhtunkhwa
Kohati Gate, Peshawar, Khyber Pakhtunkhwa
Kotla Mohsin Khan, Peshawar, Khyber Pakhtunkhwa
Lahori Gate, Peshawar, Khyber Pakhtunkhwa
Lala Rukh Colony, Peshawar, Khyber Pakhtunkhwa
Lalazar Colony, Peshawar, Khyber Pakhtunkhwa
Landi Arbab, Peshawar, Khyber Pakhtunkhwa
Landi Arbab Manakro Road, Peshawar, Khyber Pakhtunkhwa
Latifabad, Peshawar, Khyber Pakhtunkhwa
Liaqat Bagh, Peshawar, Khyber Pakhtunkhwa
Madina Colony, Peshawar, Khyber Pakhtunkhwa
Madina Town, Peshawar, Khyber Pakhtunkhwa
Mall Road, Peshawar, Khyber Pakhtunkhwa
Manakrao, Peshawar, Khyber Pakhtunkhwa
Mardan Housing Society, Peshawar, Khyber Pakhtunkhwa
Mathra, Peshawar, Khyber Pakhtunkhwa
Mattani, Peshawar, Khyber Pakhtunkhwa
Meena Bazaar, Peshawar, Khyber Pakhtunkhwa
Mehboobabad, Peshawar, Khyber Pakhtunkhwa
Mian Abdulwali Shah Town II, Peshawar, Khyber Pakhtunkhwa
Mohbat Pura, Peshawar, Khyber Pakhtunkhwa
Momin Town, Peshawar, Khyber Pakhtunkhwa
Mulazai Housing Scheme, Peshawar, Khyber Pakhtunkhwa
Murad Colony, Peshawar, Khyber Pakhtunkhwa
Muslim City, Peshawar, Khyber Pakhtunkhwa
Nasir Bagh, Peshawar, Khyber Pakhtunkhwa
Nasir Bagh Road, Peshawar, Khyber Pakhtunkhwa
Naz Cinema Road, Peshawar, Khyber Pakhtunkhwa
NBP (Afshan) Colony, Peshawar, Khyber Pakhtunkhwa
New City Homes, Peshawar, Khyber Pakhtunkhwa
New Peshawar Valley, Peshawar, Khyber Pakhtunkhwa
Nishterabad, Peshawar, Khyber Pakhtunkhwa
Nishterabad Road, Peshawar, Khyber Pakhtunkhwa
Northern Bypass, Peshawar, Khyber Pakhtunkhwa
Nothia Jadeed, Peshawar, Khyber Pakhtunkhwa
Nothia Qadeem, Peshawar, Khyber Pakhtunkhwa
Nova City, Peshawar, Khyber Pakhtunkhwa
Old Bara Road, Peshawar, Khyber Pakhtunkhwa
OPF Housing Scheme, Peshawar, Khyber Pakhtunkhwa
Others, Peshawar, Khyber Pakhtunkhwa
Outer Circular Road, Peshawar, Khyber Pakhtunkhwa
PAF, Peshawar, Khyber Pakhtunkhwa
Pahari Pora, Peshawar, Khyber Pakhtunkhwa
Pajagi Road, Peshawar, Khyber Pakhtunkhwa
Pakha Ghulam, Peshawar, Khyber Pakhtunkhwa
Palosi, Peshawar, Khyber Pakhtunkhwa
Panch Kahtta Road, Peshawar, Khyber Pakhtunkhwa
Peshawar Garden, Peshawar, Khyber Pakhtunkhwa
Phandu Road, Peshawar, Khyber Pakhtunkhwa
POF Colony, Peshawar, Khyber Pakhtunkhwa
Police Colony, Peshawar, Khyber Pakhtunkhwa
Professor Colony, Peshawar, Khyber Pakhtunkhwa
Qafila Road, Peshawar, Khyber Pakhtunkhwa
Qissa Khawani Bazar, Peshawar, Khyber Pakhtunkhwa
Quaidabad, Peshawar, Khyber Pakhtunkhwa
Rafiqui Road, Peshawar, Khyber Pakhtunkhwa
Rahatabad, Peshawar, Khyber Pakhtunkhwa
Rahmatabad, Peshawar, Khyber Pakhtunkhwa
Railway Housing Society, Peshawar, Khyber Pakhtunkhwa
Railway Road, Peshawar, Khyber Pakhtunkhwa
Ramdas Bazar, Peshawar, Khyber Pakhtunkhwa
Rasheed Town, Peshawar, Khyber Pakhtunkhwa
Rashid Garhi, Peshawar, Khyber Pakhtunkhwa
Regi Lalma, Peshawar, Khyber Pakhtunkhwa
Regi Model Town, Peshawar, Khyber Pakhtunkhwa
Rehmanabad, Peshawar, Khyber Pakhtunkhwa
Ring Road, Peshawar, Khyber Pakhtunkhwa
Saddar, Peshawar, Khyber Pakhtunkhwa
Saddar Road, Peshawar, Khyber Pakhtunkhwa
Saeedabad, Peshawar, Khyber Pakhtunkhwa
Samar Bagh Enclave, Peshawar, Khyber Pakhtunkhwa
Sarafa Bazar, Peshawar, Khyber Pakhtunkhwa
Sarbilandpura, Peshawar, Khyber Pakhtunkhwa
Sardargarhi, Peshawar, Khyber Pakhtunkhwa
Sarki Gate, Peshawar, Khyber Pakhtunkhwa
Sarki Road, Peshawar, Khyber Pakhtunkhwa
Sathee Town, Peshawar, Khyber Pakhtunkhwa
Sethi Town, Peshawar, Khyber Pakhtunkhwa
Shabqadar Road, Peshawar, Khyber Pakhtunkhwa
Shaheedabad, Peshawar, Khyber Pakhtunkhwa
Shaheen Bazar, Peshawar, Khyber Pakhtunkhwa
Shaheen Town, Peshawar, Khyber Pakhtunkhwa
Shaikhabad Road, Peshawar, Khyber Pakhtunkhwa
Shakir Abad, Peshawar, Khyber Pakhtunkhwa
Shami Road, Peshawar, Khyber Pakhtunkhwa
Shams-ul-Qamar Town, Peshawar, Khyber Pakhtunkhwa
Shamshatto Road, Peshawar, Khyber Pakhtunkhwa
Sheikhabad, Peshawar, Khyber Pakhtunkhwa
Sher Ali Town, Peshawar, Khyber Pakhtunkhwa
Shinwari Town, Peshawar, Khyber Pakhtunkhwa
Shoba Bazar, Peshawar, Khyber Pakhtunkhwa
Sikandar Town, Peshawar, Khyber Pakhtunkhwa
Sikandarpura, Peshawar, Khyber Pakhtunkhwa
Small Industries Estate, Peshawar, Khyber Pakhtunkhwa
Sufaid Dheri, Peshawar, Khyber Pakhtunkhwa
Sunehri Masjid Road, Peshawar, Khyber Pakhtunkhwa
Swati Gate, Peshawar, Khyber Pakhtunkhwa
Tajabad, Peshawar, Khyber Pakhtunkhwa
Taru Jabba, Peshawar, Khyber Pakhtunkhwa
Tehkal, Peshawar, Khyber Pakhtunkhwa
Tehsil Park, Peshawar, Khyber Pakhtunkhwa
Tipu Sultan Road, Peshawar, Khyber Pakhtunkhwa
Umar Gul Road, Peshawar, Khyber Pakhtunkhwa
Umeedabad, Peshawar, Khyber Pakhtunkhwa
University Road, Peshawar, Khyber Pakhtunkhwa
University Town, Peshawar, Khyber Pakhtunkhwa
Wadpagga, Peshawar, Khyber Pakhtunkhwa
Waliabad, Peshawar, Khyber Pakhtunkhwa
Walled City, Peshawar, Khyber Pakhtunkhwa
Wapda Town, Peshawar, Khyber Pakhtunkhwa
Waris Abad, Peshawar, Khyber Pakhtunkhwa
Warsak Michini Road, Peshawar, Khyber Pakhtunkhwa
Warsak Road, Peshawar, Khyber Pakhtunkhwa
Wazir Bagh Road, Peshawar, Khyber Pakhtunkhwa
Wazir Colony, Peshawar, Khyber Pakhtunkhwa
Wazirdund, Peshawar, Khyber Pakhtunkhwa
Yakatoot, Peshawar, Khyber Pakhtunkhwa
Yaseenabad, Peshawar, Khyber Pakhtunkhwa
Yusufabad, Peshawar, Khyber Pakhtunkhwa
Zargarabad, Peshawar, Khyber Pakhtunkhwa
Zaryab Colony, Peshawar, Khyber Pakhtunkhwa
Zulfiqar Town, Peshawar, Khyber Pakhtunkhwa
Shabqadar Road, Shabqadar, Khyber Pakhtunkhwa
Adina, Swabi, Khyber Pakhtunkhwa
Aman Abad, Swabi, Khyber Pakhtunkhwa
Ambar, Swabi, Khyber Pakhtunkhwa
Baja, Swabi, Khyber Pakhtunkhwa
Bam Khel, Swabi, Khyber Pakhtunkhwa
Batakara, Swabi, Khyber Pakhtunkhwa
Bazargi Lar Road, Swabi, Khyber Pakhtunkhwa
Beesak, Swabi, Khyber Pakhtunkhwa
Chota Lahor, Swabi, Khyber Pakhtunkhwa
Dagai - Yaqubi Shakh, Swabi, Khyber Pakhtunkhwa
Dagi, Swabi, Khyber Pakhtunkhwa
Dagi Road, Swabi, Khyber Pakhtunkhwa
Dandhoka, Swabi, Khyber Pakhtunkhwa
Daulat, Swabi, Khyber Pakhtunkhwa
Dobian, Swabi, Khyber Pakhtunkhwa
Dobian Mardan Road, Swabi, Khyber Pakhtunkhwa
Dobian Road, Swabi, Khyber Pakhtunkhwa
Dodher, Swabi, Khyber Pakhtunkhwa
Farooq Shah Bacha Kalli, Swabi, Khyber Pakhtunkhwa
Galla, Swabi, Khyber Pakhtunkhwa
Gandaf, Swabi, Khyber Pakhtunkhwa
Ghabasni, Swabi, Khyber Pakhtunkhwa
Hamlet, Swabi, Khyber Pakhtunkhwa
Herab Khwar Road, Swabi, Khyber Pakhtunkhwa
Islamabad - Peshwer Motorway, Swabi, Khyber Pakhtunkhwa
Ismaila, Swabi, Khyber Pakhtunkhwa
Jamra, Swabi, Khyber Pakhtunkhwa
Jangidher, Swabi, Khyber Pakhtunkhwa
Kaddi, Swabi, Khyber Pakhtunkhwa
Kalabat, Swabi, Khyber Pakhtunkhwa
Kalu Khan, Swabi, Khyber Pakhtunkhwa
Khair Abad, Swabi, Khyber Pakhtunkhwa
Khatakano Koty, Swabi, Khyber Pakhtunkhwa
Khunda, Swabi, Khyber Pakhtunkhwa
Kiara, Swabi, Khyber Pakhtunkhwa
Kotha, Swabi, Khyber Pakhtunkhwa
Loe Nehr - Grand Canal Road, Swabi, Khyber Pakhtunkhwa
Maini, Swabi, Khyber Pakhtunkhwa
Mamo Banda, Swabi, Khyber Pakhtunkhwa
Managi, Swabi, Khyber Pakhtunkhwa
Maneri Bala, Swabi, Khyber Pakhtunkhwa
Maneri Payan, Swabi, Khyber Pakhtunkhwa
Manki, Swabi, Khyber Pakhtunkhwa
Marghuz, Swabi, Khyber Pakhtunkhwa
Mian Essa, Swabi, Khyber Pakhtunkhwa
Mughal Kot Shahk Lar Road, Swabi, Khyber Pakhtunkhwa
Naik Nam Lar Road, Swabi, Khyber Pakhtunkhwa
Nazar Banda, Swabi, Khyber Pakhtunkhwa
Nogram Killi, Swabi, Khyber Pakhtunkhwa
Noor Ul Hadi Koruna, Swabi, Khyber Pakhtunkhwa
Others, Swabi, Khyber Pakhtunkhwa
Pachani, Swabi, Khyber Pakhtunkhwa
Pakha Pula, Swabi, Khyber Pakhtunkhwa
Panj Pir, Swabi, Khyber Pakhtunkhwa
Parmoli, Swabi, Khyber Pakhtunkhwa
Pontia, Swabi, Khyber Pakhtunkhwa
Sadbar Abad, Swabi, Khyber Pakhtunkhwa
Sadre, Swabi, Khyber Pakhtunkhwa
Shah Mansur Township, Swabi, Khyber Pakhtunkhwa
Sheikh Jana, Swabi, Khyber Pakhtunkhwa
Sher Shah Suri Road, Swabi, Khyber Pakhtunkhwa
Sheraghund, Swabi, Khyber Pakhtunkhwa
Shewa, Swabi, Khyber Pakhtunkhwa
Sim Canal Road, Swabi, Khyber Pakhtunkhwa
Speen Khel, Swabi, Khyber Pakhtunkhwa
Sudher, Swabi, Khyber Pakhtunkhwa
Tarakai Lar Road, Swabi, Khyber Pakhtunkhwa
Tarlandi, Swabi, Khyber Pakhtunkhwa
Terwatu, Swabi, Khyber Pakhtunkhwa
Thandkoi, Swabi, Khyber Pakhtunkhwa
Topi, Swabi, Khyber Pakhtunkhwa
Tordher, Swabi, Khyber Pakhtunkhwa
Tuti Banda, Swabi, Khyber Pakhtunkhwa
Utla, Swabi, Khyber Pakhtunkhwa
Yaqubi, Swabi, Khyber Pakhtunkhwa
Yaqubi Road, Swabi, Khyber Pakhtunkhwa
Yar Hussain, Swabi, Khyber Pakhtunkhwa
Yar Hussain - Chota Lahor Rd, Swabi, Khyber Pakhtunkhwa
Zaida, Swabi, Khyber Pakhtunkhwa
Zanki Khail Lar Road, Swabi, Khyber Pakhtunkhwa
Zarobi, Swabi, Khyber Pakhtunkhwa
Airport Road, Swat, Khyber Pakhtunkhwa
Alamganj, Swat, Khyber Pakhtunkhwa
Aligram, Swat, Khyber Pakhtunkhwa
Amankot, Swat, Khyber Pakhtunkhwa
Amlookdara, Swat, Khyber Pakhtunkhwa
Bagh Deri Road, Swat, Khyber Pakhtunkhwa
Bahrain Road, Swat, Khyber Pakhtunkhwa
Bara Bandal, Swat, Khyber Pakhtunkhwa
Bara Samai, Swat, Khyber Pakhtunkhwa
Baramah, Swat, Khyber Pakhtunkhwa
Bayshonai Kalay, Swat, Khyber Pakhtunkhwa
Bazkhela, Swat, Khyber Pakhtunkhwa
Charbagh, Swat, Khyber Pakhtunkhwa
Dangram, Swat, Khyber Pakhtunkhwa
Dir Road, Swat, Khyber Pakhtunkhwa
Gamon Road, Swat, Khyber Pakhtunkhwa
Islampur, Swat, Khyber Pakhtunkhwa
Kalail Kandao, Swat, Khyber Pakhtunkhwa
Kalakalay, Swat, Khyber Pakhtunkhwa
Kalakot, Swat, Khyber Pakhtunkhwa
Kalam, Swat, Khyber Pakhtunkhwa
Kanju Township, Swat, Khyber Pakhtunkhwa
Karimabad, Swat, Khyber Pakhtunkhwa
Kokaria, Swat, Khyber Pakhtunkhwa
Kumrat Valley, Swat, Khyber Pakhtunkhwa
Lamutai, Swat, Khyber Pakhtunkhwa
Landai, Swat, Khyber Pakhtunkhwa
Malam Jabba Road, Swat, Khyber Pakhtunkhwa
Matta, Swat, Khyber Pakhtunkhwa
Matta Road, Swat, Khyber Pakhtunkhwa
Mingora, Swat, Khyber Pakhtunkhwa
Mohalla Tariqabad, Swat, Khyber Pakhtunkhwa
Ningolai Village, Swat, Khyber Pakhtunkhwa
Others, Swat, Khyber Pakhtunkhwa
Parraie, Swat, Khyber Pakhtunkhwa
Peuchar Valley, Swat, Khyber Pakhtunkhwa
Rahimabad, Swat, Khyber Pakhtunkhwa
Saidu Sharif, Swat, Khyber Pakhtunkhwa
Shamozai Road, Swat, Khyber Pakhtunkhwa
Township Boulevard, Swat, Khyber Pakhtunkhwa
Others, Waziristan, Khyber Pakhtunkhwa
Ameer Alam Colony, Ahmadpur East, Punjab
Mehrab Wala, Ahmadpur East, Punjab
National Highway 5, Ahmadpur East, Punjab
Others, Ahmadpur East, Punjab
Al-Mannan Garden, Alipur, Punjab
Alipur - Muzaffargarh Road, Alipur, Punjab
Alipur - Uch Sharif Road, Alipur, Punjab
Almanan City, Alipur, Punjab
Chani Goth Road, Alipur, Punjab
Fateh Pur Road, Alipur, Punjab
Others, Alipur, Punjab
Rajput Colony, Alipur, Punjab
Sabtain Town, Alipur, Punjab
TEST Locality, Alipur, Punjab
Bahawalnagar Bypass Road, Arifwala, Punjab
Burewala Road, Arifwala, Punjab
F Block, Arifwala, Punjab
Ghulam Muhammad Town, Arifwala, Punjab
Gulshan-e-Sultan Housing Scheme, Arifwala, Punjab
Karkhana Bazar, Arifwala, Punjab
Mohla Colony, Arifwala, Punjab
Others, Arifwala, Punjab
Pakpattan Road, Arifwala, Punjab
Sahiwal Road, Arifwala, Punjab
Tehsil Road, Arifwala, Punjab
Aiwa City, Attock, Punjab
Attock Road, Attock, Punjab
Burhan, Attock, Punjab
Cantt, Attock, Punjab
Century Agro Farms, Attock, Punjab
College Road, Attock, Punjab
Darul Islam Colony, Attock, Punjab
Farooq-e-Azam, Attock, Punjab
Fateh Jang Road, Attock, Punjab
Fazaia Housing Scheme, Attock, Punjab
GT Road, Attock, Punjab
Hamza Town, Attock, Punjab
Iqbal Road, Attock, Punjab
Jand, Attock, Punjab
Jhang Bahtar Road, Attock, Punjab
Kamalpur Musa, Attock, Punjab
Kamra, Attock, Punjab
Kamra Road, Attock, Punjab
Lalazar Colony, Attock, Punjab
Madni Colony, Attock, Punjab
Meena Bazar, Attock, Punjab
Meharpura Gharbi, Attock, Punjab
Mehrpura Sharqi, Attock, Punjab
Mirza Road, Attock, Punjab
Multi Residencia Orchards Brahma Bahtar, Attock, Punjab
Officer Colony, Attock, Punjab
Others, Attock, Punjab
Peoples Colony, Attock, Punjab
Piaewt Enclave, Attock, Punjab
Pindigheb, Attock, Punjab
Railway Road, Attock, Punjab
Samhan Housing Attock, Attock, Punjab
Sanjwal Model Town, Attock, Punjab
Sanjwal Road, Attock, Punjab
Shaheen Bagh, Attock, Punjab
Shakardara Road, Attock, Punjab
Shamshabad, Attock, Punjab
Tarbela Road, Attock, Punjab
Waisa, Attock, Punjab
Adda Road, Bahawalnagar, Punjab
Amir Kot, Bahawalnagar, Punjab
Arifwala Road, Bahawalnagar, Punjab
Bahawalnagar Bypass, Bahawalnagar, Punjab
Bahawalnagar Cantt, Bahawalnagar, Punjab
Baldia Road, Bahawalnagar, Punjab
Basti Pachawa, Bahawalnagar, Punjab
Basti Rab Tawakkal, Bahawalnagar, Punjab
Behari Colony, Bahawalnagar, Punjab
Bhangi Colony, Bahawalnagar, Punjab
Canal Colony, Bahawalnagar, Punjab
Chishtian Road, Bahawalnagar, Punjab
Circular Road, Bahawalnagar, Punjab
College Road, Bahawalnagar, Punjab
Dahranwala, Bahawalnagar, Punjab
DC Office Road, Bahawalnagar, Punjab
Deenpur Sharif, Bahawalnagar, Punjab
Eidgah Road, Bahawalnagar, Punjab
Election Office Road, Bahawalnagar, Punjab
Faisal Colony, Bahawalnagar, Punjab
Faqir Wali, Bahawalnagar, Punjab
Farooq Abad, Bahawalnagar, Punjab
Fort Abbas, Bahawalnagar, Punjab
Hafiz Abad, Bahawalnagar, Punjab
Haroonabad, Bahawalnagar, Punjab
Haroonabad Bahawalnagar Road, Bahawalnagar, Punjab
Hospital Road, Bahawalnagar, Punjab
Islam Nagar, Bahawalnagar, Punjab
jahangir Kot, Bahawalnagar, Punjab
Jail Road, Bahawalnagar, Punjab
Jinnah Colony, Bahawalnagar, Punjab
Katchehry Road, Bahawalnagar, Punjab
Khadimabad Colony, Bahawalnagar, Punjab
Khan Baba Colony, Bahawalnagar, Punjab
Madina Town, Bahawalnagar, Punjab
Manchinabad Road, Bahawalnagar, Punjab
Millat Colony, Bahawalnagar, Punjab
Mochipura, Bahawalnagar, Punjab
Model Town, Bahawalnagar, Punjab
Muslim Colony, Bahawalnagar, Punjab
Nadir Shah Road, Bahawalnagar, Punjab
Nazir Colony, Bahawalnagar, Punjab
Nizampura, Bahawalnagar, Punjab
Nizampura East, Bahawalnagar, Punjab
Officer Colony, Bahawalnagar, Punjab
Others, Bahawalnagar, Punjab
Police Line Road, Bahawalnagar, Punjab
Qaimabad, Bahawalnagar, Punjab
Quraish Colony, Bahawalnagar, Punjab
Railway Colony, Bahawalnagar, Punjab
Sadaat Colony, Bahawalnagar, Punjab
Shahzad Nagar, Bahawalnagar, Punjab
Tehsil Bazar Road, Bahawalnagar, Punjab
Tiba Maqsoodpura, Bahawalnagar, Punjab
Wuqla Colony, Bahawalnagar, Punjab
100 Feet Road, Bahawalpur, Punjab
Ahmedpur Road, Bahawalpur, Punjab
Airport Road, Bahawalpur, Punjab
Akbar Colony, Bahawalpur, Punjab
Al Aqsa Commercial Centre, Bahawalpur, Punjab
Al Momin Garden Housing City, Bahawalpur, Punjab
Al Noor Maqbool Smart City, Bahawalpur, Punjab
Al Qamar Garden, Bahawalpur, Punjab
Al-Hadi Garden, Bahawalpur, Punjab
Al-Raheem Town, Bahawalpur, Punjab
Al-Rahim Garden Housing City, Bahawalpur, Punjab
Al-Shaheer Garden, Bahawalpur, Punjab
Allama Iqbal Road, Bahawalpur, Punjab
Allama Iqbal Town, Bahawalpur, Punjab
Arif Town, Bahawalpur, Punjab
Azizabad Colony, Bahawalpur, Punjab
Bahawalpur Avenue Housing Society, Bahawalpur, Punjab
Bahawalpur Bypass, Bahawalpur, Punjab
Bahawalpur Lodhran Road, Bahawalpur, Punjab
Bahawalpur Yazman Road, Bahawalpur, Punjab
Bahawalpur-Bahawalnagar Road, Bahawalpur, Punjab
Band Road, Bahawalpur, Punjab
Bankers Colony, Bahawalpur, Punjab
Bano Colony, Bahawalpur, Punjab
Basti Bhattian, Bahawalpur, Punjab
Basti Charoya, Bahawalpur, Punjab
Basti Hamaitian, Bahawalpur, Punjab
Basti Hurian, Bahawalpur, Punjab
Basti Samlan, Bahawalpur, Punjab
Behari Colony, Bahawalpur, Punjab
Canal Colony, Bahawalpur, Punjab
Canal Garden Housing Scheme, Bahawalpur, Punjab
Canal Road, Bahawalpur, Punjab
Cantt, Bahawalpur, Punjab
Chak 11/BC, Bahawalpur, Punjab
Chak 12/BC, Bahawalpur, Punjab
Chak 8 DNB, Bahawalpur, Punjab
Chak 9, Bahawalpur, Punjab
Chaudhary Town, Bahawalpur, Punjab
Cheema Town, Bahawalpur, Punjab
Circular Road, Bahawalpur, Punjab
CMH Chowk, Bahawalpur, Punjab
Commercial Colony, Bahawalpur, Punjab
Darbar Mahal Town, Bahawalpur, Punjab
Darbar Road, Bahawalpur, Punjab
DC Chowk, Bahawalpur, Punjab
Dera Izzat, Bahawalpur, Punjab
DHA Defence, Bahawalpur, Punjab
Dilawar Colony, Bahawalpur, Punjab
Dr Raja Road, Bahawalpur, Punjab
Eastern Bypass, Bahawalpur, Punjab
Faisal Bagh Town, Bahawalpur, Punjab
Faqir Wali, Bahawalpur, Punjab
Farid Gate Road, Bahawalpur, Punjab
Faride Gate, Bahawalpur, Punjab
Fauji Basti, Bahawalpur, Punjab
Fawara Chowk, Bahawalpur, Punjab
Garden Town, Bahawalpur, Punjab
Ghanipur, Bahawalpur, Punjab
Girls College Road, Bahawalpur, Punjab
Goheer Town, Bahawalpur, Punjab
Goth Ghanni, Bahawalpur, Punjab
Goth Nur Buksh, Bahawalpur, Punjab
Government Employees Cooperative Housing Society, Bahawalpur, Punjab
Government Servants Housing Scheme, Bahawalpur, Punjab
Green Town, Bahawalpur, Punjab
Gulberg Road, Bahawalpur, Punjab
Gulistan Colony, Bahawalpur, Punjab
Gulshan-e-Saeed, Bahawalpur, Punjab
Gulzar Basti, Bahawalpur, Punjab
Gulzar e Sadiq, Bahawalpur, Punjab
Hamaitian Awami Colony, Bahawalpur, Punjab
Hamza Town, Bahawalpur, Punjab
Haroon Town, Bahawalpur, Punjab
Haseeb Town, Bahawalpur, Punjab
Hashmi Garden, Bahawalpur, Punjab
Hasilpur Road, Bahawalpur, Punjab
Heavy Industrial Area Road, Bahawalpur, Punjab
Hussani Chowk, Bahawalpur, Punjab
Imtiaz Town, Bahawalpur, Punjab
Iqbal Villas, Bahawalpur, Punjab
Islamia Colony, Bahawalpur, Punjab
Islampura, Bahawalpur, Punjab
Jafer Colony, Bahawalpur, Punjab
Jafri Town, Bahawalpur, Punjab
Jail Road, Bahawalpur, Punjab
Jhangi Wala Road, Bahawalpur, Punjab
Jillani Colony, Bahawalpur, Punjab
Johar Town, Bahawalpur, Punjab
Karna Basti, Bahawalpur, Punjab
Khairpur Tamewali, Bahawalpur, Punjab
Khakwani Colony, Bahawalpur, Punjab
Khayaban-e-Ali Housing Society, Bahawalpur, Punjab
Khursheed Town, Bahawalpur, Punjab
Kucha Ganj, Bahawalpur, Punjab
Library Chowk, Bahawalpur, Punjab
Madni Avenue Housing Scheme, Bahawalpur, Punjab
Makhdumpura, Bahawalpur, Punjab
Mall, Bahawalpur, Punjab
Maluk Shah Road, Bahawalpur, Punjab
Mandi Yazman, Bahawalpur, Punjab
Maqbool Colony, Bahawalpur, Punjab
Mari Lachi, Bahawalpur, Punjab
Medical Colony, Bahawalpur, Punjab
Meer Garden Housing Scheme, Bahawalpur, Punjab
Middle City, Bahawalpur, Punjab
Millat Colony, Bahawalpur, Punjab
Model Avenue, Bahawalpur, Punjab
Model Town A, Bahawalpur, Punjab
Model Town B, Bahawalpur, Punjab
Model Town C, Bahawalpur, Punjab
Model Village, Bahawalpur, Punjab
Mohalla Aam Khas, Bahawalpur, Punjab
Mohalla Bagh Mahi, Bahawalpur, Punjab
Mohalla Kajalpura, Bahawalpur, Punjab
Mohalla Kumharan, Bahawalpur, Punjab
Mohalla Nawaban, Bahawalpur, Punjab
Muhammad Bin Qasim Road, Bahawalpur, Punjab
Muhammadia Colony, Bahawalpur, Punjab
Multan Road, Bahawalpur, Punjab
Mushtaq Colony, Bahawalpur, Punjab
Muslim Town, Bahawalpur, Punjab
Nazir Abad Colony, Bahawalpur, Punjab
New Satellite Town, Bahawalpur, Punjab
Nishat Colony, Bahawalpur, Punjab
Noor Mahal Road, Bahawalpur, Punjab
Noor Pur Road, Bahawalpur, Punjab
One Unit Chowk, Bahawalpur, Punjab
Others, Bahawalpur, Punjab
Paragon City, Bahawalpur, Punjab
Paragon Ideal Homes, Bahawalpur, Punjab
Paragon Villas, Bahawalpur, Punjab
Pelican Homes, Bahawalpur, Punjab
Qasim Town, Bahawalpur, Punjab
Rafaqat Town, Bahawalpur, Punjab
Rafi Qamar Road, Bahawalpur, Punjab
Railway Road, Bahawalpur, Punjab
Rehmat Colony, Bahawalpur, Punjab
Riaz Colony, Bahawalpur, Punjab
Riaz ul Jannah Society, Bahawalpur, Punjab
River Road, Bahawalpur, Punjab
Royal City Housing Scheme, Bahawalpur, Punjab
Sadiq Colony, Bahawalpur, Punjab
Sajid Awan Colony, Bahawalpur, Punjab
Samma Satta Road, Bahawalpur, Punjab
